DATE,TWEXB
2016-03-02,123.3740
2016-03-09,122.0068
2016-03-16,121.6184
2016-03-23,120.0004
2016-03-30,120.5531
2016-04-06,119.5915
2016-04-13,119.3870
2016-04-20,118.9536
2016-04-27,119.2049
2016-05-04,118.4130
2016-05-11,119.7945
2016-05-18,120.4411
2016-05-25,121.6241
2016-06-01,121.6266
2016-06-08,120.5922
2016-06-15,120.7473
2016-06-22,120.6366
2016-06-29,121.3162
2016-07-06,121.4337
2016-07-13,121.5715
2016-07-20,121.5842
2016-07-27,122.2659
2016-08-03,121.2503
2016-08-10,121.0386
2016-08-17,120.0223
2016-08-24,120.0397
2016-08-31,121.0040
2016-09-07,120.7679
2016-09-14,121.3258
2016-09-21,122.1774
2016-09-28,121.7599
2016-10-05,121.6719
2016-10-12,122.5258
2016-10-19,122.6202
2016-10-26,122.9392
2016-11-02,123.2956
2016-11-09,123.0707
2016-11-16,126.2045
2016-11-23,127.0788
2016-11-30,127.4083
2016-12-07,126.7599
2016-12-14,126.5828
2016-12-21,128.2373
2016-12-28,128.6121
2017-01-04,128.4238
2017-01-11,128.1162
2017-01-18,127.2518
2017-01-25,126.9521
2017-02-01,126.3150
2017-02-08,125.5195
2017-02-15,125.7656
2017-02-22,125.7625
2017-03-01,125.3391
2017-03-08,126.0848
2017-03-15,126.0491
2017-03-22,124.4781
2017-03-29,123.9072
2017-04-05,124.1800
2017-04-12,124.4055
2017-04-19,123.8426
2017-04-26,124.0364
2017-05-03,124.1577
2017-05-10,124.5106
2017-05-17,123.7833
2017-05-24,123.1767
2017-05-31,122.7474
2017-06-07,122.2580
2017-06-14,121.9324
2017-06-21,122.2663
2017-06-28,122.0058
2017-07-05,121.6164
2017-07-12,121.4957
2017-07-19,120.1444
2017-07-26,119.5416
2017-08-02,119.1740
2017-08-09,119.4750
2017-08-16,119.4104
2017-08-23,119.0521
2017-08-30,118.4262
2017-09-06,117.9423
2017-09-13,117.1510
2017-09-20,117.6105
2017-09-27,118.5241
2017-10-04,119.4645
2017-10-11,119.6353
2017-10-18,119.6834
2017-10-25,120.2677
2017-11-01,121.0211
2017-11-08,120.9123
2017-11-15,120.7403
2017-11-22,120.1117
2017-11-29,119.2383
2017-12-06,119.5714
2017-12-13,120.3348
2017-12-20,120.1010
2017-12-27,120.0079
2018-01-03,118.9604
2018-01-10,118.5413
2018-01-17,117.6067
2018-01-24,116.6710
2018-01-31,115.5716
2018-02-07,116.6261
2018-02-14,118.0925
2018-02-21,117.4851
2018-02-28,118.0782
2018-03-07,118.3521
2018-03-14,118.0869
2018-03-21,118.4754
2018-03-28,117.7207
2018-04-04,117.727
2018-04-11,117.6928
2018-04-18,117.3662
2018-04-25,118.8388
2018-05-02,119.9003
2018-05-09,120.9769
2018-05-16,121.0983
2018-05-23,121.9595
2018-05-30,122.19
2018-06-06,122.4644
